"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9344","@web Client app login for ADIDAS ORIGINAL","","Sat Dec 06 13:14:35 CET 2025","passed","Sat Dec 06 13:14:44 CET 2025","","ClientAppPO.spec.js","",""
"","14853","@web Client app login for ZARA COAT 3","","Sat Dec 06 13:14:19 CET 2025","passed","Sat Dec 06 13:14:34 CET 2025","","ClientAppPO.spec.js","",""
